Comments,Label
Kuthira aan prathima alla ayn jeevan ind🙏🏻😵,0
എന്താല്ലേ നിനക്ക് ഇതൊക്കെ വലിയ സംഭവം ആണല്ലേ 😂😂😂,1
കഴിവുള്ളവരെ ലോകം അംഗീകരിക്കില്ല 👏,0
aarada ithineyokke vilichath🤌🤢,1
ആ ചെപ്പ നോക്കി ഒന്ന് പൊട്ടിക്ക് അവന്റെ 🥵✅ ചില്ലറ കഴപ്പ് ഒന്നും അല്ല,1
Intro valarea manoharam ayittind😂,0
Kannu kulirma ulla kazhicha pwilich😂,0
thani vedi look,1
പട്ടിയാണ്ടിയുടെ ഒരു കാര്യം അത് ഒപ്പിയെടുത്ത നിന്നെയും സമ്മതിക്കണം 😂😂😂,0
beard shave aaki keriya mathi or 2 round run 🏃 🥲,0
Nee aynakaatiyum PICK ME😂,1
നീയൊക്കെ പഠിക്കാൻ തന്നെയാണോ കെട്ടിയൊരുങ്ങി വരുന്നത് 😬,1
Iyalod makeup idan aarum paranjillalo,0
"da chengaye, block aaki podo. Pathenghil paray njan block aakam",1
Ath angane kore neram vellkathor😒👍🏽,0
ninte oke ee pezhacha swabhavam karanam aanu ithoke kelkanath,1
Naatukarude theri kettu jeevitham theerkunna jenmam,1
nta ponn myre ninnennm aarkm Venda 🥴🫠,1
ചപ്പാൻ tharammo,1
പൊക്കി കഴിഞ്ഞാൽ മുഖം മറക്കാതെ വീഡിയോ ഇടണം,0
ഞാൻ പറയാനുള്ളത് കമെന്റിൽ വന്നു പറയും ഇൻബോക്സിൽ msg അയക്കൽ നിന്റെ തന്തയുടെ പണി,1
😂 പറി content വേണ്ടി ആണ് myre ഇതൊക്കെ,1
Oone pidichaal onn aa vdeo koodi idane 😂😂,0
ഒന്ന് പോടീ ബ്ലഡി ഫൂൾ🤭,1
Vry good kazhapoli🔥🔥🔥,1
ഈ നായിന്റെ മോനൊക്കെ എന്ത് സുഖമാണ് കിട്ടുന്നത് അടിച്ചു പല്ല് താഴെ ഇടണം.,1
ശോ ഇവനൊക്കെ ഇത് ഏതു നൂറ്റാണ്ടിലാണ് ആണുങ്ങളുടെ വില കളയാൻ😂,0
Alibintaaa pariii nayinta mole 😂,1
erghi poda nte feednn,1
നിന്നെപ്പോലത്തെ തിട്ടത്തെ വാരിയെടുക്കൽ അല്ല കേരളാ പോലീസിൻ്റെ പണി😂,0
ഇതൊക്കെ എന്തിനാ ഇവിട വന്ന് പറയുന്നേ 😂,0
Oh nee oombum onnu podi 💦💦💦💦,1
 Ingne reply prnjal Neeyum avanum thammil oru vithyasam illalo 😂,0
Ni puluthm,1
കാന്താരി മുളക് അരച്ച് തേച്ച് കൊടുക്കണം...🙂🚶🏻💯,0
Ankk ithu parayan enthu yogyatha.,0
Myr ith nokki orennam vittu💦💦💦 ntha sugam,1
ക്ലോസെറ്റിന്റെ ഉള്ളിൽ കേറി ഇരുന്നു തുടക്കമായിരുന്നു,0
Robot varum chechi water proof erangiya bathroom inta karyam set,0
poo poori mwone,1
Endaa life boradikumbol veruthe poyi iPhone vanguva 😅😂,0
Paavangalee onn sahahichudee😢,0
Neyoke reach vendi alle parayunne..,1
അടി കുണ്ടാ കൂട്ടമണി,1
Aarakilum onun paraj mansilaki koode ko plzzzz😂,0
Nalla senioursity indallo😂,0
th trollammarude vijayam😂,0
തുള' ഇടം😁,1
Aa manni adichapol ikayuday manni kudi adi kanum,0
Oru mani adichapoo 2 mani adicha mathiri ☠️,0
Entha big boss അടിച്ചു puttiyo😂😂,0
ഇവളെയും jasna സലിംമിനെയും അകത്താക്കണം പുറം ലോകം കാണിക്കരുത് 😂,1
കുടിക്കേണ്ട കിഡ്നി പോകും,0
Aduthy varshm thanty maranm orpp annal😂,1
ഇങ്ങനൊക്കെ ആണേലും സ്പ്രേ മ്മക്ക് ഹറാമാണ് ഗയ്സ് 😂😂😂,1
Skin alla phone aa change aayath 👏,1
Nail polish spray haraam backi allam halal akiya thatha,1
Nee yedakku okke onnu cancer centar el onnu sandarshikkunnathu nallatha…,1
Halal ഇത്ത,1
ഇവരുടെ കോമ്പോ ഇപ്പോൾ ഇഷ്ട്ടമായി varunnu🥰,0
കൊടുത്ത് കൊടുത്ത് കൊടുത്ത് നെഗറ്റീവോളിക്കളുടെ അണ്ണാക്കിൽ കൊടുത്തു... 😌📈,0
പിരിഞ്ഞു എന്ന് പറഞ്ഞവരൊക്കെ ഒന്നു കാണു,0
അവൻ ഫുൾ ഡിലിറ്റ് ആക്കി,0
അഴക് പിള്ളേർ 😂,1
Avanu ivale pucham..but ivale vachu reach venam😂,1
കുള്ളന് മടുത്തു 😂😂😂,1
😁ഇവരുടെ ലിംഗ് ആർക്കേലും കിട്ടിയോ ഗയ്‌സ് 😁,1
Allu Arjun പടത്തിലെ നായിക്കെനെ പോലെയുണ്ട്,0
ഹറാം എല്ലാം ഹലാൽ ആക്കിയ ജാസ്മിൻ 😂,0
കുളിച്ചില്ലങ്കിൽ എന്താ,1
ഗബ്രി കടിച്ചും ചപ്പിയും എടുതവൾ,1
തീട്ടം,1
Anumolde sthanth jasmin ayrinel eppo ellathin theripichnea😂,0
pott idal haram alley🥱🥱🥱,1
തൂറാൻ മുട്ടിയത് ആണോ ?,1
ആരൊക്കെ എന്തൊക്കെ പറഞ്ഞാലും ഇവൾ sexy ആണ്,1
ആ നാമം മാറ്റി.. ശാന്ത ആക്കിക്കോ,1
Sanam oombikanam ninte vayayil itt,1
ആ മൂക്കിലൂടെ കയ്യിട്ടിരുന്നെങ്കിൽ പൊളി ആയേനെ 😂,1
വിറയൽ aano😄😄😄,1
Njn orthu thirich vekkunn 😂 51 🏃,0
പറയുന്നവർ അങ്ങനെ പറഞ്ഞുകൊണ്ടിരിക്കും നീ എല്ലാം കാണിക്കു മുത്തേ👏,1
ഇതിനു 25ആയിട്ടുള്ളു കണ്ടാൽ 35ആയി തോന്നും 🤔,1
ഈ തള്ളക്ക് 25ഓ..,1
ഏദ് മൂഡ്... നൊസ്റ്റാൾജിയ മൂഡ്.. 🥰,0
സ്പ്രേ ഹറാം ആണ് ❤️🙌. But കക്ഷം കാണികൽ ഹലാലും 😂😂,1
കളിക്കാരി 🤓,1
ഇത് ഒക്കെ എങ്ങനെ മരിച്ചു പോവോ nthoo.. Allahooo🙃,1
ഏതാ പുതിയ കളിക്കാരൻ 😂😂😂🤔,1
എന്താണ് കുറ്റി കട്ടിൽ ഒരു പരിവാടി ഇത്ത,1
Panam koodi vasthrathinde alav kuranju,1
Enik ivale kanda arapp aanu,1
Enik ishttam aayath jasmin reaction aanu 😂😂😂😂,0
നിഷ്കളങ്കൻ ഇനിയും ഉയരങ്ങളിൽ എത്തും ❤️🙌,0
ഓന്റെ കഴിവ് മനസ് വെച്ച് ഇങ്ങനെ തന്നേ പോകും ❤️🌝,0
Enik chicken stooo mathre ariyavulle🥲,0
ഇവിടെ സ്റ്റൂ ന്ന് പറഞ്ഞ ബീഫ് സ്റ്റൂ വേണോ ചിക്കൻ സ്റ്റൂ വേണോന്നു ചോദിക്കും,0
എന്ത് പെട്ടന്നാണ് പെണ്ണ് eagle ആയത് 🤣🔥,0
ഇനിയും അപമാനങ്ങൾ ഏറ്റുവാങ്ങാൻ അവളുടെ ജീവിതം ബാക്കി 😌😌😌,1
Chechi evide poyalum eth analo avasthaaa😂,0
Aaha self trolling okke thudangiyello 👏,0
Oru mattom illalo🤣,0
nala pole kittibodhichuuu😂,0
Chechi oru mukhamoodi oke ett vasu annante live il kerr chechi😂,0
Oru thanthak vili kettapo entha resam hayyaa 😂,0
വട്ടത്തിലും തൃഗോനത്തിലും ഊക്🤣,0
ഒരു ട്വിസ്റ്റ്‌ പ്രേതിഷിച്ച ഞാൻ ആരായി ഇപ്പൊ..!!🙂🚶‍♂️,0
ഇത് എന്ത് myre 😮,1
ഇത് ഒന്നും ആർക്കും മനസിലാകത്തില്ല Bro എല്ലാവർക്കും അവരവരുടെ കാര്യം,0
onn podo Hans aarnn kunju vittath..,1
Thanthaykk vilichittanallo thudakkam 😂,0
ആരാ പറഞ്ഞു ആണുങ്ങൾ മെയ്ക്കപ്പ് ചെയ്യില്ല എന്ന് 😂,0
രണ്ട് പഴങ്ങൾ പൊന്തിയതിൻ്റെ തെളിവ്😂😂,1
Ee chechi alle mammookkede mol aayittu act cheythathu😲😲😲,0
Vry good kazhapoli🔥🔥🔥,1
ഒരു മുട്ടൽ കൊണ്ട് വൈറൽ ആയി 😂,0
ഒരാളെ ഇങ്ങനെ ഇല്ലാണ്ടാക്കാൻ അനകെ പറ്റു 😂😂😂,0
Njan orikkal anubavichadha profile video und ,0
എനിക്ക് ഒരു ഫോട്ടോ ആയിരുന്നു വേണ്ടത്... അത് കിട്ടി.. ഞാൻ പോട്ടെ 😹📈,0
എന്നോട് ഈ ചതി വേണ്ടാർന്നു 🥲🥲,0
Oru self satisfaction alley. Enthaa cheyya.. ellam ithey avastha 😂😂,0
ഓസ്ക്കാർ തോറ്റു പോകും…,0
Ana poyi umb myrekale🖕🏿,1
ഈ ഡ്രസ്സ്‌ മാറ്റുന്ന പരുപാടി ഒന്ന് മാറ്റി പിടിക്കാൻ പറ്റോ ഇല്ലാലോ .... 😌😌😌😁😁😁😁,0
കടലിലെ ഒരു മീന മാത്രം നീ പിടിച്ചിട്ടുള്ളൂ😂😂😂,0
പാവം നായിന്റെ മോന് ഇത്രേം കഴപ്പുള്ള സ്ഥിതിക്ക് 😂,1
നീ ഒരു നാൾ കരയേണ്ടി വരും 📈,1
അയിന് നമ്മൾ എന്ത് വേണം😭🤣,0
Patti moothram ozhicha snow aano enn oru samshayam 🥲😂,0
Video kand sett aayi vannappzha caption😂 mood poyi mood poyiii😂,0
ആരൊക്കെ മൂത്രം ഒഴിച്ചതാണ്ണാവോ 😹,0
അണുക്കൾ ഉണ്ടാവില്ലേ 😐,0
Ath അറിയില്ലേ പട്ടി മാത്രം alla മനുഷ്യന്റെ polum undavum,0
Nombinum kali nadakkunnund soopr,1
കോണ🤮🤮🤮അതിൻ്റെ തൊളള കാണുമ്പോ അറപ്പ് തോന്നുന്നു🤮🤮🤮🤮🤮,1
Theettam,1
സോളോ വൈണർ നെ ട്രോളി ട്രോളി സെച്ചി എവിടെ വരെ എത്തി 🥹🔥,0
llengilum full tough step nte aala🤣,0
Shivane ith yeth jilla😂,0
Adhiyam ni thattamid,1
പെട്ടന്ന് കണ്ടപ്പോൾ പേടിച്ചു 🙂,0
ആ മുഖം ഒന്ന് കഴിയുമ്പോൾ ആണ് ശരിക്കുള്ള സൗന്ദര്യം വെളിയിൽ വരുന്നത്,1
Panchasara kannil therich irikknn😂,0
Anndi sadanam,1
arada ithineyokke vilichath🤌🤢,1
😂 എന്താല്ലേ നിനക്ക് ഇതൊക്കെ വലിയ സംഭവം ആണല്ലേ 😂😂😂,0
Bigbossilum tedx talkilum oke ethu oolakalkum pokam,1
Eth kelkan mathram gethikedd ola audience 😭,0
Ithrem divsm kazhinjille...onn nirthikoode 🤌🏻,0
Ni adyam nannav.... Enthayalum ninte athra koothara alla.... Podiiiiii,1
Aa bodham undenkil va adachirikku.... Cheeveed,1
Oru nilapaadil orach nikkaan polum kazhiv illaand winner aayaa biggest attention seeeker,1
Podi pulle😡😡😡,1
Onn podii avde maari irnn kaaranjala 😂🙃,1
The show is over athu manasilakku🤣🤣,0
കരച്ചിൽ തുടരും 💯🤣,0
മിടുക്കി സത്യം വിളിച്ചു പറയാനുള്ള ധൈര്യം കാണിച്ചു 🔥🔥🔥,0
ഞങ്ങൾ സാധാരണക്കാർ ആണ് അനുവിന്റെ pr നീ കരഞ്ഞു തീർത്തോ,0
Ayyal parannathe ath onnum alla...nii manasilakk,0
Onnu podi asooya ottum illa 🤣🤣,1
Ninnekkal kollam,1
Kittatha munthiri pulikkum🤣,0
വിശ്വാസം അതല്ലേ എല്ലാം 😌,0
Kann nte mele ndha sticker ahno 👀,0
Shelf clean aayath sredicha njan 😬😂,0
Cuteness thoori mezhukuvaanello 🤢,1
Self respect kalanju instayil koprayum. Add kanich indaakiya paisa Alle 😒,1
Chechi oru sunthari anneee😍,0
സ്വന്തമായി കളിയാക്കാനും വേണം ഒരു കഴിവ്😹👌,0
enthoru chechiyanawo ith..😂😂,0
Ninakkenthada vayye 🥹🤣,1
 roast maranu poyo😂,0
ഇതിനേക്കാൾ അസ്സഹാനിയ കാര്യങ്ങൾ നീ ഇപ്പോ ചെയ്യുന്നുണ്ട്,1
2 വർഷം മുമ്പത്തെ വീഡിയോ ആണോ prime.. ഇതിൽ വലിയ മാറ്റം ഒന്നുല്ലലോ 😂😂,0
തൊലി ഒരിഞ്ഞു പോവതില്ലേ 😂,0
Tik tok ban aayath nannayi😂,0
Cringe alla kazhappu anu enne njan parayu,1
ആ പുറകിൽ നിൽക്കുന്നത് ഞാൻ ആണല്ലോ....🙌🫣,0
Eni vaikathe instagramum ban avm 😂😂,0
Chirich tharanno,1
ആരെങ്കിലും ഒക്കെ കുത്തി പൊക്കി നാറ്റിക്കുന്നതിനു മുൻപ് ഞാൻ തന്നെ post ചെയ്യട്ടെ 😂😂😂,0
ഷിവനേ ഇത് എത് ജില്ല😂,0
നിനക്ക് എന്ത് പറ്റിയട 😂,0
Ath dark circles aano 😅😁,1
glue gun vech pervadii thodangiii tta makkaleeee🙂‍↕️🎀. ini full kalavirth okke kana,0
ഓഹോ... 3:58 am ഒക്കെ നിങ്ങൾക് midnight ആണോ?,0
Ellam Meth aanalle 😌... Dnt use synthetic,1
ഇത് ഒക്കെ എന്താ അണ്ണാചികൾ,1
hair ind but penn illaalo🥲😂,0
mole enikum und curly hair 😔💔,0
ഇല്ലാത്തവർക്ക് ഇത് ഇപ്പോഴും expensive തന്നെയാണ്,0
മുന മാറ്റിക്കൊണ്ടിരിക്കുന്ന പെൻസിൽ 😢,0
അന്നും ഇന്നും JCB അതായിരുന്നു luxury 🔥,0
Uchak chorinu pagaram maggy kondorunnath😂 pinne alle manasilayath ith nere thirichanenn 😂😂,0
Kaanatha pole irikkaam😭💗,0
നമ്മൾ ഇതിൽ ഇല്ല കണ്ടാ മതി 🙂💔,0
idhenth pari (enkum venam ignaa🥀💔),1
Etharayum Njan agrahichat oll😌,0
ഇതൊന്നും കാണാൻ ഞാനില്ല,0
Chatha pole kedakkam,0
Muthe kann thattaathe irikkatte ❤️🙌,0
Comment box muzhuvan adhuvum lakshmiyum kondupoyi😍😍😍,0
Allelum njangade piller aarodum personal grudge vakkarilla❤️❤️,0
Nthokkeya ee kanunne🤩,0
Paatt thekkott dance vadakott😂🔥,0
ഇതെന്നാ ഒന്ന് തീരുക 😢👏🙌,0
Dance aano glasss mukyam bigile😂…,0
ഓ മൊതലാളി ഇമ്പ്രൂവ് ആയിട്ടുണ്ട് 🔥,0
ആദൂ മാത്രല്ല ഓളെ മുടി കൂടെ ഡാൻസ് കളിക്കുന്നുണ്ട് 😂,0
പണ്ടാരങ്ങൾ,1
അറിയാവുന്ന പണിക്ക് പോപെണ്ണെ,1
ഒരു കുതിരയെ എങ്കിലും വിടാർന്നു bahu annan,0
നിങ്ങൾ ഒരു webseries തുടങ്ങിയാൽ മാസ്സ് ആവും 😂😂😂😂,0
ഇതാണ് മരിച്ചു അഭിനയിക്കുക എന്നൊക്കെ പറഞ്ഞാ 😂😂,0
എന്തോരം കഴിവുകളാ പിള്ളേർക്ക്😮😂😂,0
"ആ ഓറഞ്ചിനെ പിടിച്ച് olx ഇട്ട, ഞാൻ മേടിച്ചോളാം 🫣",0
ഇത് ഇങ്ങനൊന്നും അല്ലടാ 😂❤️🔥,0
മൈരുകൾ ഒരു ഫ്രെയിമിൽ,1
ഒപ്പിക്കൽ നു ഒക്കെ എന്താ ലൈക്‌ 🤩🤣🤣,0
Vangal okke onnichallo,1
teeff steps മാത്രേ നിക്ക് പറ്റു..,1
Ithokke content aaki reach vaganam....kodum vishagal,1
വൈരാഗ്യവും ഉള്ളിൽ വച്ചു മുഖം വീർപ്പിച്ചു നടക്കുന്ന സൂപ്പർ സെലിബ്രിറ്റി ഇതൊക്കെ കണ്ടു പഠിക്ക്😒,1
കുണ്ടത്തികൾ 🙌,1
അപ്പൊ full fake ആയിരുന്നു അല്ലേ എല്ലാം. കള്ള lesbians 🤣,1
സർളക് അമ്മായി 😂,1
പൈസക്ക് ഒന്നും വില ഇല്ലേ 😮 അമ്മാതിരി പുച്ഛം ആണല്ലോ 🤌🏻🥵,1
രാവിലെ ഐഫോൺ മേടിക്കാൻ പോയി രാത്രി ആയപ്പോഴാണ് മേടിച്ചു കഴിഞ്ഞത്🙂,0
Enik boar adikunn njn poi onn orangattey😒,0
വീടിൽ ഇരുന്ന് boar അടിക്കുന്നു സിറ്റൗട്ടിൽ poy ഇരിക്കാം 😮‍💨,0
ആനക്ക് പാവങ്ങളെ സഹായിച്ചൂടെ,1
Pootha panm nd leee kayyil shoooo,0
Korch ahangram koodiyon oru doubt,1
തൂറാത്തവൻ തൂറുമ്പോൾ തീട്ടം കൊണ്ട് ആറാട്ട് 😂,1
Aa dance vendaayirunnu,1
ഇനി റോഡിലൂടെ നടക്കാണെങ്കിലും ഹെൽമെറ്റ്‌ ധരിക്കേണ്ടി വരുമെല്ലോ ദൈവമേ....😂,0
ന*** ജീവിക്കുന്ന രണ്ടു ടീൻസ്,1
കുത്തിതിരിപ്പ് ടിം 😡😡😡,0
വെടല പൂറീ ബിന്നി,1
ollaboration vendarnn.worst😂,1
പിന്നിൽ അടിമകൾ,1
ഇതെന്തു മയരാണ്..... വല്ല പണിക്കും പോടി,1
Ee kootharakk kittiyath oru shikandiye 😂😂😂😂😂,1
Vanangal thanne🔥,1
കുട്ടി നിനക്ക് എന്തേലും കഴിവുണ്ടോ എന്ന് ചിന്തിക്കുക മറ്റുള്ളവരുടെ കഴിവിനെ പുച്ഛിക്കാനെ അറിയൂ,1
"മോനെ മുടിക്കെന്ത് പറ്റി,, നല്ലോണം ചൊറിയുന്നുണ്ടല്ലോ 😢😢😢",1
അടിമകൾക്കു പുതിയ step പഠിപ്പിച്ചു കൊടുക്കു.... 🫠,1
ഇതെന്തു മയരാണ്..... വല്ല പണിക്കും പോടി,1
Ni kettoola ketyalum nikkoola,1
Enna myrie anno,1
ഊമ്പ്,1
Vanamm,1
Ande shirt chambi alle,0
എന്ന് വെച്ചാൽ എന്താ meaning 😶‍🌫️,0
നല്ല ഊള ആയിട്ടുണ്ട് കണ്ടിട്ട് ചിരി വരുന്നു😂😂😂,1
Inte ponnaara moolaan😋🥹😭🫶🏼,0
🤔ithokr ivde van parayande avishyam 🤔,1
Ithu poltha oru jenmathinu etha perudend?🔪,1
നിന്റെ പ്രണയം സത്യം ആണെങ്കിൽ പൊട്ടിയ പല്ലും accept ചെയ്യണമായിരുന്നു....,1
Ayyo velya karyam aayi poyi.. Enth verrupeeru aayirunnu ival Bbyil,1
നിന്റെ തന്തേനെയും തള്ളേനെയും പറഞ്ഞാൽ മതി പറഞ്ഞാമതി,1
അവനെ കാണാൻ കൊള്ളാം പക്ഷേ നീ,1
Alibinde andi,1
Njii araanann vijaram,0
മേക്കപ്പ് ഇല്ലാത്ത മുഖം കാണിച്ചു തരാൻ നിങ്ങൾക്ക് ധൈര്യം ഉണ്ടോ  😂😂,1
"പുള്ളിക്ക് പെണ്ണ് കിട്ടാതെന്റെ frustration എന്ന് വിചാരിച്ചാമതി 😂😂,",0
അവൻ പൊട്ടക്കിണറ്റിലെ തവളയാണ് ...! 🙌,0
അവനിക്ക് അസൂയ അത്ര തന്നെ 😂💔,0
എന്തൊക്കെ പറഞ്ഞാലും ഈ കുട്ടി അല്പം ഓവർ ആണ്,1
ഇതിന്റെ സംസാരം തന്നെ ഇഷ്ടമല്ല,1
Eee 19 vayasil premichu nadakkunnath abhimanam aayi kond nadakkalle mole....,1
Konakkathe podi myre.....😂,1
18 muttumbo kalyanam kaich vidnna teamsaa ee paryne 🤣,1
അവൻ നല്ല സങ്കടം ഉണ്ടന്ന് തോന്നുന്നേ 🤣,0
Pennilathavante രോദനം 😭,0
Nee enthayalum munji alla🤣🤣🤣,1
hmm achan di enne vilikkumbo nthada enne chodekkunnathavum maturity,1
Namada life namal anni theerumanikana public akano private akano en 👏,0
Entha ee kattunne enthelum preshanam indo 🙄,1
മറന്ന് പോയാൽ ആലോചിക്കാൻ വയ്യാ 😂😂,0
അല്ല പിന്നെ വെറുപ്പ് പിടിക്കൂലേ😂😂,0
Idhokke endhina njangalod parynne?,1
Ante swabhavam aale olkku kittu 😂😂,0
വീട്ടിലെ പൊട്ടിയ ഓടുമാറ്റി വെക്കാൻ പറ്റാത്തവന്മാരായിരിക്കും പറഞ്ഞുണ്ടാവുക 😁,0
Iniyum valiya karyangal nedaan pattatte!,0
എനിക്ക് ചേച്ചിനെ ഇഷ്ടപ്പെട്ടു,0
Alhamdulillah എന്ന് പറയാൻ നിനക് അർഹത ഇല്ല... 💩🤮,1
Nii bigg boss ll poyii vanapo nii undakiyath kore hatersine ahn..🙂,0
സ്വന്തമായി ഉണ്ടാകുന്നത് എന്തായാലും അത് വലുതാണ് കുഞ്ഞേ 👏,0
Kure attum thuppum kitti🤣🤣🤣,1
Oole motivation 🥴ivide aarkkum vendda,1
Anikum ithepole avanam ennu agrham ind😢,0
നിന്റെ വീഡിയോസിൽ ഇഷ്ടപ്പെട്ട ഒരേ ഒരു വീഡിയോ,0
പാവം ആങ്ങള ചെക്കൻ,0
ചെറിയ കുട്ടിക്ക് എന്തിനാ ലിപ്സ്റ്റിക്,0
Giftee arenekilum kittukaa ennath ..enikoke oru swapnam mathram😂😂,0
Ente veetil gift pollum illa,0
But ittu pollum kittatha kids undavom ❤️,0
നോക്ക് തന്നത് 😂😂😂,0
മലയാളിയാരുന്നോ... 🫣🫣🫣 അറിഞ്ഞില്ല ഉണ്ണ്യേ,0
 Innu chirikkano atho 2 divasam kazinju chiricha mathio Chechi? 😂,0
Kunichhhnirthi Kothiladikkan thonunnu🤤,1
ഇതിനുള്ള ഒരുക്കമായിരുന്നു അല്ലേ,0
Kothipichu kothipichu ithu engotta,0
പൊക്കിൾ ശരിക്കും കാണുന്നില്ല ☺️,1
Allegilum sariyil kannan nalla bhangi aanu🥰💗,0
ninte comment kandappol manasilaayi ninte chindhaghedhiyum samskaram illaymayum❤️,0
enth vrithiketta samsaram ann nayinta mone ninne pole veetil choriyum kuthi avl irikano,1
വെടികളുടെ ഒരു കാലം,1
വളർത്ത് ദോശം,1
ആരാ പറഞ്ഞത്.. നിന്റെ തോന്നലാ,1
Pakshe ente parents ithinood sammathickunnund,0
മലയാളികൾ ആരും വന്നില്ല കുറച്ച് കഴിഞ്ഞിട്ട് വരാം...😂😂🙌,0
Background vare correct pidich ,0
ഉം എന്തേലും ആട്ടെ ഒരു ചായ മാത്രം താ 🙂,0
അന്നിയത്തിക്ക് പറ്റിയ കുട്ട് 😂😂😍,0
Enth thyrr ith 🤢,1
Ithathayu kollam aniyathiyum kollam😂🤍,0
മലപ്പുറം അണ്ണമാർ തമിയർ ട്ടച്ച്…,0
End verppikkala🙄,1
ഇത് ചേരുന്നുണ്ട് 😂,0
Mute cheyth nokanan kurach koodi nallath😂,0
Nirthi poone 🤮,1
Correct bhai look ond 😂😂,0
Audio elathe dance kand nokk 😂🤌🏻,0
niyathi sundri ne kuthri😂,1
"Aah shirt inn aan njan eehh reel like cheyunne ,Suiiiiiiiii🙌",0
Ithin inganayum undallee...😂,0
Eedha ee verpiknne penn ☺️,0
Save ആക്കി വെക്കാം എപ്പോഴേലും ആവിശ്യം വരും 😂😂😂😂,0
അതൊണ്ടാണോ ഇങ്ങൾ bigboss ഇൽ പേടിച്ച് കരഞ്ഞെ 😂,0
ഒന്നാണോ 😂 കേരളക്കര മൊത്തം അങ്ങിനെയ്ന്,0
എനിക്കു തിരിച്ചായിരുന്നു അ പൊട്ടാ പല്ലനെ നീ എങ്ങനെ തിരഞ്ഞെടുത്തു enna🤭,1
Alib inte andi on poye kochy,1
